ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,label
6378.296009,11306.77764,13707.62613,9952.087735,14717.69633,9323.561143,15066.30776,15624.79676,12132.14025,12130.83341,20891.54324,10935.13756,13119.37149,9704.994513,12400.68251,26849.16557,1
6584.414024,11594.4752,13210.60699,9713.889357,14113.46311,9692.275441,15582.33045,15642.94762,10856.63476,12576.68309,22500.53188,11104.07973,12478.3537,10665.38222,13518.7249,27249.19652,1
7161.341369,11875.14954,13988.76403,10296.03244,13940.53744,10305.08573,15550.87539,16089.07392,10903.0454,12408.9386,24040.38723,12177.35062,12604.30238,11393.20465,14651.31231,24830.41536,1
7438.175987,11898.84997,15162.75326,10574.39567,14665.30197,11030.43907,16722.59702,18151.67194,11638.23798,13420.5806,24454.98699,13199.6207,13622.86252,11707.47115,15180.46604,28728.49278,1
7476.738361,11820.67727,15258.88398,11223.61124,16489.08059,12066.17364,17207.9056,19994.8979,13897.23533,13464.844,26155.2996,14480.67066,16562.14631,12633.99957,15686.80293,29286.83358,1
6426.781298,12188.8697,14905.88674,10751.17539,17146.68117,12562.78321,17236.05025,22363.30256,15120.37022,14938.19385,24357.04776,15141.15056,17945.7959,13381.33435,15876.15252,32780.29208,1
6698.839809,13150.877,14826.90585,11101.34231,17425.61681,12693.83733,16849.46468,19990.53356,15371.75669,13795.20847,23334.60158,15169.54686,16790.86404,13595.24326,16180.98982,30980.02741,1
6690.529689,12913.15018,14894.13513,10717.41009,16606.82626,11672.89336,17802.184,18300.04578,13888.60739,14129.19002,20806.47908,14410.80518,14988.9507,12397.75015,15223.10762,32441.51192,1
6797.237889,13634.32908,15281.64212,11223.56038,17370.60204,11788.16888,18238.70201,15664.57761,14177.62897,14290.67828,21244.51907,14719.42784,13599.63699,11084.87734,14258.91286,29607.43413,1
6809.113352,13124.57982,14557.10874,11070.75614,17033.64689,11024.49012,18404.39024,16725.40579,13904.42723,15746.31717,22082.83119,16106.48233,14895.39406,11822.43933,13435.91289,29934.0277,1
7354.274213,14008.21943,14692.45439,11568.66417,16922.70112,11388.29642,18943.21411,19136.3916,15156.42896,15594.08715,22596.18926,17971.96136,15091.57146,12770.33985,14457.10466,30291.70642,1
8253.463103,13855.04247,13698.83461,10880.47798,16643.31459,11162.41006,20176.97942,20877.79919,14043.43816,14991.57372,21687.04788,17804.50242,15776.52393,12965.91865,14664.70152,32259.9003,1
8285.540418,13902.72095,13718.43122,10749.07295,16498.74606,11168.01177,20641.28218,22789.69019,13853.84976,16193.27634,19814.83198,15637.60149,14160.11234,12023.08272,15009.29624,39124.716,1
7783.599694,13463.07075,12869.99511,9623.84185,16657.09094,11701.36334,21929.14585,24268.9883,12916.29402,16184.52445,19267.60141,13554.94709,13552.349,11011.07067,15758.34632,48537.36744,1
7712.469602,12322.601,13598.24115,9534.865368,16848.28134,11882.28188,21177.20303,24880.56633,13280.10504,16505.44468,18331.70961,13482.44609,13436.16433,11376.10462,17233.81346,49772.55058,1
7476.575582,11629.61952,13489.26108,9321.160904,17658.72951,12617.07264,21774.8963,24906.42306,14316.09045,14852.80859,19756.0683,13941.26402,14536.18095,11688.96406,17584.2661,43209.44698,1
7670.208267,11674.69611,14523.7332,9421.920824,18687.97474,11836.61621,18911.09853,23425.26964,14866.86812,15023.03448,19811.71595,13729.91701,15571.52076,11327.53841,16962.58295,33580.06138,1
7678.857125,13080.6468,14957.73127,9763.988763,18171.72115,11428.48831,18211.23532,22764.2139,15284.47827,15204.93107,19956.95996,12774.63724,15869.21312,11598.8169,16100.08048,32385.54882,1
7828.006879,13272.66541,14892.37418,9066.440189,16571.40404,10743.45943,17839.85196,21836.03095,14834.60986,16423.82125,18520.37523,11859.67794,15371.38055,10510.65536,15981.79805,32149.94558,1
7722.650884,12767.16728,12961.99063,8443.192997,15633.97953,10720.22089,19809.06537,23289.21963,14515.38661,17733.71777,17075.69576,11666.61439,14456.2079,10879.03148,16777.23616,39797.32326,1
8032.339428,12488.44919,12317.09335,9113.592186,15302.67111,10854.83152,21713.29876,25596.66347,14131.26574,17732.27835,18524.8437,12874.86003,14403.60155,9914.505592,16260.94527,44148.0268,1
7921.840749,12493.27369,12575.61623,9440.448848,15484.46879,11308.38914,22284.4833,27336.40509,13840.09511,16589.23951,18935.63612,13595.28035,14652.4031,10754.44068,16609.06191,50443.877,1
7716.688657,13135.83115,14663.49756,10272.06669,16336.1215,11957.26586,21178.69897,24598.75425,13435.44712,15215.57344,21328.08453,14392.34519,16651.39607,12198.62193,17176.28591,44794.68714,1
7194.805005,12283.12884,14996.93053,9456.986481,15316.04391,11610.1739,19574.95928,21625.87187,13625.2771,15380.17616,19555.24689,13890.2488,17017.18315,12265.9194,16712.3274,40802.47408,1
6674.347624,12629.11169,14445.95293,9158.360437,15733.51805,11024.72609,17967.90284,19040.59604,13918.86477,15997.07479,18461.49382,12688.25077,16123.82384,11620.25126,15369.03332,36729.45076,1
6745.591222,12592.26711,12729.99564,9059.374941,17014.20447,10631.99796,17939.95147,21498.4636,14864.68488,16717.53729,17078.44512,12569.50959,14681.17183,10800.91373,14354.91732,37251.00335,1
7562.409329,12426.98728,12579.32994,9503.933035,18123.05036,11659.95381,18336.98288,21634.36775,15856.11982,15888.10642,18192.03112,12242.97526,13925.8379,10889.41157,14833.37025,34943.85879,1
8024.540291,11949.48875,13049.93859,9850.616008,18345.5738,12107.70763,19065.13896,22054.35048,15729.4678,15330.45645,19015.10022,12507.12808,14239.48552,10696.26495,16565.19753,34521.95834,1
8068.047923,11719.71084,13173.24505,10116.95328,15900.8148,11673.24048,19427.74505,19960.81319,14990.69327,14539.99439,18079.24499,11435.47453,13874.25242,9562.21588,16389.75313,36886.79995,1
6975.215333,12769.5608,12285.34215,9733.400477,14783.40921,9852.796039,18786.43835,19371.13694,13980.07601,14855.06485,16343.98781,10857.47066,13275.90628,9104.996366,16397.54876,34572.49353,1
