ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,label
1799.554661,6972.768092,65263.70792,7048.358026,47994.62865,20466.25726,21327.32749,19033.55328,8259.881964,8240.62776,108775.2191,18468.95837,21480.02722,15095.53326,15130.07003,78844.47122,1
1595.71927,7195.743792,47441.38968,5694.02797,36981.69031,15992.20972,19595.69746,22146.14475,6806.055077,8225.811724,86349.49226,17408.84168,20377.12739,15146.25393,15291.20506,83414.58435,1
1897.544238,6171.259223,44547.47566,4429.402922,35292.7985,15091.32138,17982.41299,21353.8179,6984.003992,8594.467152,72535.42258,16128.53931,18282.18931,12592.02885,13378.70054,85341.83557,1
2384.402521,6554.372457,43901.69565,5133.41804,29361.13853,15420.44341,24647.64211,22465.5664,6091.925792,8161.137914,67883.54994,20337.7871,20469.08467,12446.10252,14416.9728,81649.38482,1
2227.758561,7020.171314,38486.57545,4951.645329,28424.93243,16249.62782,22747.41033,17819.51062,6401.560729,8206.240997,93082.1988,20018.56912,22228.07174,15162.87353,12940.7801,75941.31999,1
1867.767147,6121.593347,30454.00939,5625.944934,25847.8462,13333.61141,18378.24719,15548.13071,5241.476121,8313.49396,94491.53142,17934.63796,21455.87113,15481.67282,13297.63024,63763.42403,1
1694.598837,5379.920523,27697.17757,5221.34412,25941.18269,12362.89024,12313.2593,12739.60985,5648.161972,9517.441556,85454.71093,14225.68734,18288.88831,13200.99902,11229.78449,60694.62505,1
1852.515524,4181.461945,27237.80341,5519.423729,24187.78282,9493.891567,11309.19741,15532.69362,5494.707281,8335.06253,52493.85598,13110.78687,11435.77932,9954.87062,11847.21052,71948.02458,1
2063.369181,5422.410031,29728.14413,5340.772262,22427.42852,9523.680703,15498.99738,18358.68931,5308.678809,7403.860906,48011.0451,12990.96477,11165.7299,9575.79125,10220.59609,88284.28964,1
1616.81736,5994.172022,24783.50466,4944.228359,21967.73368,8417.687922,16180.5363,17290.47074,5247.757488,7186.278209,47876.29572,11891.26529,10012.98517,9604.35887,11630.60418,88719.41541,1
1376.983345,6876.681642,17929.84199,4536.559131,18345.6968,6157.796574,17805.54138,19758.26017,4725.941966,8423.191616,39141.20966,9761.07409,9984.981857,7319.535292,10943.00117,103290.4966,1
1111.206796,6178.631624,13913.99838,3870.38321,16870.48093,5275.124911,13497.17931,17308.10364,4211.1525,8593.453922,35980.42119,9285.878081,9086.360628,6975.521195,10395.25875,89496.87956,1
1226.081365,7330.268583,14844.00904,4040.586635,14746.21523,5809.69954,15526.50762,20711.92068,3962.24541,7967.006095,38975.74219,10466.92312,9663.395982,8473.314032,10442.09439,99757.85114,1
