ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,label
51,69,57,74,44,75,60,52,70,68,62,58,59,48,65,38,1
48,64,64,68,44,63,54,47,61,65,61,57,61,43,55,43,1
46,61,64,57,50,61,53,49,61,75,58,55,61,48,64,51,1
58,61,60,60,57,60,57,53,64,74,58,58,63,53,60,55,1
60,59,61,65,60,63,60,57,69,73,51,56,63,56,59,50,1
62,61,54,66,58,55,61,54,69,65,48,52,68,54,51,46,1
55,57,53,64,51,57,56,55,64,65,54,49,60,57,51,44,1
56,59,52,63,52,59,58,60,71,66,67,45,55,63,56,47,1
49,53,61,65,56,67,57,59,67,67,75,54,55,67,59,45,1
52,64,58,66,61,72,52,61,61,65,73,55,60,67,59,44,1
46,62,54,61,58,71,47,56,58,61,67,58,66,62,59,47,1
50,67,53,65,57,72,54,59,63,62,69,58,64,61,60,47,1
48,67,52,64,62,69,58,53,66,63,63,57,68,64,65,51,1
51,70,53,62,62,74,61,59,66,63,58,62,60,64,69,51,1
56,63,53,57,60,68,54,56,60,62,53,58,62,57,64,50,1
57,58,53,58,48,60,52,58,61,63,52,54,53,48,58,48,1
59,54,57,62,51,59,55,53,56,70,61,51,60,55,55,48,1
48,59,53,61,47,54,59,55,55,73,54,52,48,53,58,48,1
45,61,55,57,54,63,58,56,59,84,56,52,52,59,61,52,1
44,62,54,54,50,58,55,57,63,77,44,60,58,50,56,53,1
51,68,54,61,51,66,56,55,67,76,48,51,66,52,58,54,1
54,69,54,70,55,67,62,62,65,66,47,58,66,55,61,54,1
57,76,53,73,60,71,62,60,65,71,55,55,57,61,67,53,1
54,69,54,72,61,74,59,59,67,67,60,63,57,64,64,53,1
57,73,51,72,53,69,56,53,71,69,67,55,57,61,71,52,1
57,65,44,63,45,56,54,52,71,65,62,47,58,56,64,52,1
54,65,40,59,47,50,60,57,70,71,56,48,58,54,64,50,1
50,61,44,58,47,52,62,56,65,71,51,51,59,53,59,50,1
49,66,49,69,54,57,55,59,59,73,53,63,59,55,61,51,1
48,67,51,66,55,61,52,58,54,71,57,61,60,57,64,52,1
50,66,51,66,55,57,50,60,53,75,59,63,54,57,66,48,1
45,65,52,59,54,60,54,62,61,77,61,58,54,57,67,44,1
51,68,59,63,55,57,54,62,65,70,55,63,48,60,68,50,1
47,65,53,60,57,55,53,59,71,70,53,63,53,59,62,49,1
52,62,53,58,61,61,57,57,69,73,59,66,54,56,62,49,1
56,54,52,55,60,60,54,56,56,74,57,61,48,55,49,58,1
61,58,56,53,58,65,57,58,62,77,49,58,49,57,53,60,1
70,61,54,51,55,65,69,62,66,83,53,58,53,63,53,66,1
60,61,57,55,62,59,59,63,61,80,57,59,57,61,55,69,1
59,61,57,64,65,56,59,63,58,76,66,61,58,60,55,68,1
58,62,67,64,66,55,50,67,55,71,65,67,51,61,53,65,1
55,57,59,59,55,61,52,59,51,71,69,63,47,60,51,61,1
52,50,56,49,56,62,46,60,52,68,73,62,46,62,46,60,1
44,46,48,48,56,66,48,58,54,73,70,54,57,57,47,59,1
52,50,57,45,58,54,50,67,58,73,62,56,52,60,44,60,1
52,54,61,47,56,58,56,65,56,80,55,56,53,60,47,58,1
57,61,60,52,57,54,61,68,55,79,63,65,62,61,51,58,1
57,62,52,64,60,57,61,68,56,77,73,73,67,58,56,60,1
55,63,43,61,59,50,59,71,53,79,68,69,68,62,57,61,1
50,59,45,56,53,52,52,69,51,73,61,60,52,58,50,60,1
49,61,45,51,50,57,51,69,49,77,57,52,48,63,45,59,1
51,53,47,57,51,59,49,67,47,75,61,50,49,65,43,63,1
51,54,43,54,53,59,50,64,47,81,65,51,52,66,45,63,1
46,52,44,49,48,53,48,60,48,79,64,48,53,57,42,66,1
48,56,47,44,49,55,52,62,49,73,67,48,52,48,46,61,1
55,59,49,49,55,54,51,68,51,72,69,53,51,45,50,58,1
58,57,51,52,62,55,55,71,50,77,71,52,50,47,56,59,1
61,57,53,53,67,53,54,74,49,84,63,55,47,53,57,57,1
60,54,58,53,65,52,55,66,48,86,62,57,47,64,60,60,1
65,49,55,55,67,54,56,70,50,81,57,60,48,63,64,52,1
60,46,60,51,64,59,55,65,56,84,61,55,51,60,59,54,1
58,44,57,48,69,59,52,66,60,77,65,53,54,51,57,56,1
54,52,60,46,70,62,59,62,61,73,70,56,53,54,52,62,1
55,58,56,48,68,57,61,70,63,65,71,68,52,56,54,63,1
56,60,54,53,62,55,63,67,61,62,65,64,47,57,51,57,1
55,63,53,53,57,55,61,71,59,65,56,65,49,53,53,57,1
54,64,51,56,61,59,62,62,58,62,55,62,54,51,53,51,1
55,63,49,54,55,60,55,61,55,72,54,61,57,53,52,56,1
55,58,45,53,57,61,51,55,49,69,55,57,54,58,48,59,1
53,57,49,51,55,57,51,58,45,73,57,53,49,57,47,59,1
52,57,52,49,64,57,61,61,45,70,61,54,51,59,48,56,1
60,57,57,55,65,54,62,63,48,72,64,50,53,58,51,54,1
62,55,50,60,62,53,62,61,45,73,64,49,52,67,52,62,1
57,58,48,66,54,46,59,61,54,69,55,48,43,69,49,63,1
48,55,48,59,52,44,56,65,54,74,59,49,44,65,47,62,1
49,56,55,52,50,49,59,73,59,74,60,52,47,60,46,61,1
56,55,58,46,50,58,63,75,54,74,67,53,53,52,41,64,1
58,56,61,48,51,62,64,68,53,69,61,54,51,56,42,61,1
56,51,60,48,51,64,56,55,51,64,57,50,47,52,40,57,1
49,51,61,47,47,63,49,49,52,69,61,50,47,60,45,61,1
43,61,62,43,51,68,44,47,53,74,64,51,44,61,45,59,1
44,69,60,47,56,63,48,60,56,73,65,55,44,64,48,68,1
51,63,59,53,62,56,54,68,58,68,64,61,45,63,56,68,1
60,62,56,57,54,46,60,79,64,63,64,63,46,59,60,71,1
57,65,53,55,57,47,59,69,63,63,68,62,51,60,59,62,1
56,64,56,50,60,44,55,66,63,72,64,62,48,54,54,54,1
49,62,57,50,68,50,56,70,56,78,62,63,54,58,61,56,1
51,55,60,50,61,50,53,71,57,86,57,63,48,60,65,65,1
47,53,61,55,61,57,47,63,49,83,66,59,49,63,64,66,1
48,48,58,50,54,51,45,56,54,73,59,52,46,58,60,64,1
49,51,57,48,52,49,47,57,53,62,61,47,48,57,55,65,1
48,58,52,38,50,42,50,63,56,55,59,56,50,54,56,70,1
48,57,55,46,54,43,49,65,49,63,66,59,51,56,51,63,1
45,54,53,49,52,50,48,66,44,68,69,65,55,51,56,56,1
47,51,54,55,53,56,51,63,45,70,66,51,50,51,51,57,1
52,59,55,53,61,63,49,59,47,70,65,53,48,59,57,58,1
54,66,59,56,70,61,51,65,54,71,64,53,47,68,54,62,1
60,69,58,59,71,58,57,66,54,67,63,63,53,77,63,60,1
60,61,58,59,64,53,55,66,51,67,62,60,51,68,58,62,1
62,53,59,64,62,51,50,65,42,61,58,58,47,64,66,62,1
58,50,59,60,59,53,52,64,44,75,62,51,46,61,62,60,1
58,55,63,59,58,52,61,69,54,78,62,52,46,62,60,64,1
51,51,56,48,56,53,60,65,57,85,65,54,42,56,52,61,1
58,53,56,54,62,56,52,67,55,71,66,61,47,52,53,63,1
56,51,53,56,68,58,47,63,53,72,67,64,52,56,60,63,1
63,55,55,60,72,60,48,59,53,68,68,64,58,64,62,67,1
53,53,53,55,67,58,53,59,53,71,64,63,53,68,62,67,1
53,53,51,52,66,59,53,61,43,65,58,56,50,56,54,65,1
50,55,55,49,64,53,55,65,45,68,56,55,54,54,52,63,1
51,62,61,48,60,50,54,64,44,72,55,43,53,46,47,55,1
51,60,63,49,60,48,53,64,48,75,67,54,54,57,49,55,1
56,57,58,44,61,49,56,62,49,70,70,57,52,58,50,51,1
54,48,52,44,60,53,52,64,52,71,74,61,52,62,52,61,1
52,52,51,44,54,49,50,64,54,71,67,64,49,58,51,63,1
50,56,54,56,49,47,49,62,51,80,52,57,47,49,49,63,1
55,62,57,54,50,50,51,68,51,79,50,56,49,49,43,59,1
55,62,49,47,47,51,50,63,46,76,44,43,50,47,44,58,1
58,60,42,41,49,50,46,62,46,71,53,43,52,52,44,62,1
63,62,42,50,58,42,53,61,46,67,56,52,52,54,49,66,1
65,60,52,56,61,47,53,67,50,75,60,60,58,59,51,67,1
68,63,57,56,64,50,63,75,56,72,60,68,63,59,57,65,1
62,62,60,52,62,58,53,72,53,69,55,57,64,51,53,59,1
57,61,54,57,64,58,55,66,50,64,58,56,59,53,47,56,1
59,60,54,52,58,55,53,60,43,64,64,53,51,55,47,53,1
57,58,54,57,54,54,58,61,49,73,72,61,46,65,52,56,1
